H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202409,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240901B01,募集量（TSO別）[MW],194,472,1307,421,146,778,339,126,504,4287
20240901B01,応札量合計（電源属地別）[MW],266.79,550,420.582,0,146,218,614.311,30,148.99,2394.673
20240901B01,落札量合計（電源属地別）[MW],227.79,550,420.582,0,146,218,614.311,30,148.99,2355.673
20240901B01,応札件数（電源属地別）[件],6,3,7,0,2,2,7,2,3,32
20240901B01,落札件数（電源属地別）[件],6,3,7,0,2,2,7,2,3,32
20240901B01,最高落札価格（電源属地別）[円/kW・30分],19.5,6.13,1.4,0,0.7,5.49,1.05,0.63,19.5,19.5
20240901B01,最低落札価格（電源属地別）[円/kW・30分],0.72,2.89,0.34,0,0.7,5.49,0.34,0.42,0.36,0.34
20240901B01,平均落札価格（電源属地別）[円/kW・30分],5.27,4.37,0.53,0,0.7,5.49,0.7,0.53,5.59,2.72
20240901B01,最高落札価格（TSO別）[円/kW・30分],19.5,6.13,1.4,0,0.7,5.49,1.05,0.98,19.5,19.5
20240901B01,最低落札価格（TSO別）[円/kW・30分],0.72,2.89,0.34,0,0.7,0.34,0.34,0.34,0.34,0.34
20240901B01,平均落札価格（TSO別）[円/kW・30分],5.27,4.37,0.54,0,0.7,2.73,0.65,0.75,4.5,2.72
20240901B01,落札量合計（TSO別）[MW],227.79,550,404.636,0,133,522.257,243,87,187.99,2355.673
20240901B01,（内訳）自エリアからの落札量[MW],227.79,550,404.636,0,133,218,243,30,148.99,1955.416
20240901B02,募集量（TSO別）[MW],177,492,1266,420,152,774,337,125,505,4248
20240901B02,応札量合計（電源属地別）[MW],267.8,550,782.282,0,152,218,614.311,30,506.99,3121.383
20240901B02,落札量合計（電源属地別）[MW],217,550,782.282,0,152,218,614.311,30,472.99,3036.583
20240901B02,応札件数（電源属地別）[件],4,3,9,0,2,2,7,2,4,33
20240901B02,落札件数（電源属地別）[件],4,3,9,0,2,2,7,2,4,33
20240901B02,最高落札価格（電源属地別）[円/kW・30分],19.5,6.08,3.05,0,0.37,5.56,1.09,0.72,19.5,19.5
20240901B02,最低落札価格（電源属地別）[円/kW・30分],2.13,2.86,0.34,0,0.37,5.56,0.34,0.51,1.29,0.34
20240901B02,平均落札価格（電源属地別）[円/kW・30分],5.4,4.33,1.69,0,0.37,5.56,0.73,0.62,5.58,3.05
20240901B02,最高落札価格（TSO別）[円/kW・30分],19.5,6.08,3.05,0,0.37,5.56,1.09,1.01,19.5,19.5
20240901B02,最低落札価格（TSO別）[円/kW・30分],2.13,2.86,0.34,0,0.37,0.34,0.34,0.34,1.29,0.34
20240901B02,平均落札価格（TSO別）[円/kW・30分],5.4,4.33,1.69,0,0.37,2.81,0.65,0.72,5.58,3.05
