H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202406,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240601B01,募集量（TSO別）[MW],253,461,1332,693,120,729,331,106,451,4476
20240601B01,応札量合計（電源属地別）[MW],281.95,170,28.078,0,246,1068.891,397.735,92,145,2429.654
20240601B01,落札量合計（電源属地別）[MW],281.95,170,28.078,0,246,576.8,326.2,92,145,1866.028
20240601B01,応札件数（電源属地別）[件],4,1,1,0,1,9,8,4,3,31
20240601B01,落札件数（電源属地別）[件],4,1,1,0,1,8,7,4,3,29
20240601B01,最高落札価格（電源属地別）[円/kW・30分],19.51,1.07,0.34,0,0.34,0.34,0.34,6.62,11.18,19.51
20240601B01,最低落札価格（電源属地別）[円/kW・30分],3.36,1.07,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240601B01,平均落札価格（電源属地別）[円/kW・30分],7.07,1.07,0.34,0,0.34,0.34,0.34,1.91,9.39,2.2
20240601B01,最高落札価格（TSO別）[円/kW・30分],19.51,1.07,0.34,0,0.34,0.34,1.3,6.62,11.18,19.51
20240601B01,最低落札価格（TSO別）[円/kW・30分],3.36,1.07,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240601B01,平均落札価格（TSO別）[円/kW・30分],7.07,1.07,0.34,0,0.34,0.34,0.34,1.9,4.35,2.2
20240601B01,落札量合計（TSO別）[MW],281.95,170,28.078,0,120,591,256,92,327,1866.028
20240601B01,（内訳）自エリアからの落札量[MW],281.95,170,28.078,0,120,576.8,255,91,145,1667.828
20240601B02,募集量（TSO別）[MW],260,520,1251,641,130,758,340,115,408,4423
20240601B02,応札量合計（電源属地別）[MW],281.95,0,28.078,0,246,1104.313,397.735,94,139,2291.076
20240601B02,落札量合計（電源属地別）[MW],277.95,0,28.078,0,246,595.8,326.2,94,139,1707.028
20240601B02,応札件数（電源属地別）[件],4,0,1,0,1,9,8,4,1,28
20240601B02,落札件数（電源属地別）[件],3,0,1,0,1,7,7,4,1,24
20240601B02,最高落札価格（電源属地別）[円/kW・30分],19.51,0,0.34,0,0.34,0.53,0.48,6.83,4.99,19.51
20240601B02,最低落札価格（電源属地別）[円/kW・30分],3.63,0,0.34,0,0.34,0.34,0.37,0.34,4.99,0.34
20240601B02,平均落札価格（電源属地別）[円/kW・30分],7.29,0,0.34,0,0.34,0.47,0.43,1.94,4.99,2
20240601B02,最高落札価格（TSO別）[円/kW・30分],19.51,0,0.34,0,0.34,0.53,0.48,6.83,4.99,19.51
20240601B02,最低落札価格（TSO別）[円/kW・30分],3.63,0,0.34,0,0.34,0.34,0.37,0.34,0.34,0.34
20240601B02,平均落札価格（TSO別）[円/kW・30分],7.29,0,0.34,0,0.34,0.45,0.42,1.92,2.68,2
20240601B02,落札量合計（TSO別）[MW],277.95,0,28.078,0,124,649,252,94,282,1707.028
20240601B02,（内訳）自エリアからの落札量[MW],277.95,0,28.078,0,124,558.4,252,92,139,1471.428
20240601B03,募集量（TSO別）[MW],285,653,1556,1041,187,1086,535,223,715,6281
20240601B03,応札量合計（電源属地別）[MW],284.95,170,28.078,0,311,1177.062,101.082,182,521,2775.172
20240601B03,落札量合計（電源属地別）[MW],280.95,170,28.078,0,311,1177.062,101.082,182,521,2771.172
20240601B03,応札件数（電源属地別）[件],4,1,1,0,2,7,3,6,2,26
20240601B03,落札件数（電源属地別）[件],3,1,1,0,2,7,3,6,2,25
20240601B03,最高落札価格（電源属地別）[円/kW・30分],15.29,2.42,0.34,0,0.34,15.56,0.34,19.51,9.04,19.51
20240601B03,最低落札価格（電源属地別）[円/kW・30分],5.27,2.42,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240601B03,平均落札価格（電源属地別）[円/kW・30分],8.69,2.42,0.34,0,0.34,3.05,0.34,3.95,5.9,3.75
20240601B03,最高落札価格（TSO別）[円/kW・30分],15.29,2.42,0.34,0,0.34,15.56,15.56,19.51,12.51,19.51
20240601B03,最低落札価格（TSO別）[円/kW・30分],5.27,2.42,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240601B03,平均落札価格（TSO別）[円/kW・30分],8.69,2.42,0.34,0,0.34,2.68,2.83,3.74,5.18,3.75
20240601B03,落札量合計（TSO別）[MW],280.95,170,28.078,0,158,932,421.711,180.433,600,2771.172
20240601B03,（内訳）自エリアからの落札量[MW],280.95,170,28.078,0,158,932,101.082,159,521,2350.11
20240601B04,募集量（TSO別）[MW],304,706,2146,1371,217,1251,540,300,909,7744
20240601B04,応札量合計（電源属地別）[MW],130.65,170,805.478,0,311,533,101.082,255,909,3215.21
20240601B04,落札量合計（電源属地別）[MW],130.65,170,805.478,0,311,533,101.082,255,818,3124.21
20240601B04,応札件数（電源属地別）[件],1,1,5,0,2,4,3,6,5,27
20240601B04,落札件数（電源属地別）[件],1,1,5,0,2,4,3,6,5,27
20240601B04,最高落札価格（電源属地別）[円/kW・30分],9.84,2.95,6.73,0,0.34,15.65,0.34,19.51,10.55,19.51
20240601B04,最低落札価格（電源属地別）[円/kW・30分],9.84,2.95,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240601B04,平均落札価格（電源属地別）[円/kW・30分],9.84,2.95,3.61,0,0.34,6.37,0.34,3.27,4.5,4.08
