H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202408,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240801B01,募集量（TSO別）[MW],185,467,1411,409,142,763,335,118,535,4365
20240801B01,応札量合計（電源属地別）[MW],225.79,550,0,0,142,821.9,571.151,103,535,2948.841
20240801B01,落札量合計（電源属地別）[MW],212.8,550,0,0,142,411.035,451.965,103,511,2381.8
20240801B01,応札件数（電源属地別）[件],4,3,0,0,1,5,7,6,3,29
20240801B01,落札件数（電源属地別）[件],3,3,0,0,1,3,7,6,3,26
20240801B01,最高落札価格（電源属地別）[円/kW・30分],19.5,1.99,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,最低落札価格（電源属地別）[円/kW・30分],5.68,0.84,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,平均落札価格（電源属地別）[円/kW・30分],6.3,1.36,0,0,0.34,2.92,0.96,1.07,7.15,3.16
20240801B01,最高落札価格（TSO別）[円/kW・30分],19.5,1.99,0,0,0.34,4.39,1.4,1.74,7.98,19.5
20240801B01,最低落札価格（TSO別）[円/kW・30分],5.68,0.84,0,0,0.34,0.34,0.34,0.34,0.47,0.34
20240801B01,平均落札価格（TSO別）[円/kW・30分],6.3,1.36,0,0,0.34,2.31,0.87,1.1,7.15,3.16
20240801B01,落札量合計（TSO別）[MW],212.8,550,0,0,142,613,266,87,511,2381.8
20240801B01,（内訳）自エリアからの落札量[MW],212.8,550,0,0,142,411.035,266,87,511,2179.835
20240801B02,募集量（TSO別）[MW],169,503,1357,413,153,731,337,117,510,4290
20240801B02,応札量合計（電源属地別）[MW],279.19,550,0,0,153,821.9,571.151,98,511.99,2985.231
20240801B02,落札量合計（電源属地別）[MW],223.8,550,0,0,153,446.035,451.965,98,444.99,2367.79
20240801B02,応札件数（電源属地別）[件],6,3,0,0,1,5,7,6,4,32
20240801B02,落札件数（電源属地別）[件],5,3,0,0,1,3,7,6,4,29
20240801B02,最高落札価格（電源属地別）[円/kW・30分],19.5,2.24,0,0,0.34,4.35,1.38,1.52,19.5,19.5
20240801B02,最低落札価格（電源属地別）[円/kW・30分],1.96,0.89,0,0,0.34,0.34,0.34,0.34,0.34,0.34
20240801B02,平均落札価格（電源属地別）[円/kW・30分],6.04,1.5,0,0,0.34,2.69,0.94,1.08,7.13,3.02
20240801B02,最高落札価格（TSO別）[円/kW・30分],19.5,2.24,0,0.88,0.34,4.35,1.38,1.52,19.5,19.5
20240801B02,最低落札価格（TSO別）[円/kW・30分],1.96,0.89,0,0.34,0.34,0.34,0.34,0.34,0.34,0.34
20240801B02,平均落札価格（TSO別）[円/kW・30分],6.04,1.5,0,0.68,0.34,2.23,0.82,1.07,7.13,3.02
20240801B02,落札量合計（TSO別）[MW],223.8,550,0,43,137,632,245,92,444.99,2367.79
20240801B02,（内訳）自エリアからの落札量[MW],223.8,550,0,0,137,446.035,245,92,444.99,2138.825
20240801B03,募集量（TSO別）[MW],214,752,1774,510,201,1020,449,191,835,5946
20240801B03,応札量合計（電源属地別）[MW],313.19,400,217.1,0,201,1079.8,571.151,148,410,3340.241
20240801B03,落札量合計（電源属地別）[MW],250,400,217.1,0,201,1011.8,523.2,148,410,3161.1
20240801B03,応札件数（電源属地別）[件],6,2,1,0,1,6,7,8,2,33
