H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202405,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240501B01,募集量（TSO別）[MW],260,502,1230,715,120,732,329,112,415,4415
20240501B01,応札量合計（電源属地別）[MW],156.7,636,27.843,0,120,1190.969,247.563,101,118,2598.075
20240501B01,落札量合計（電源属地別）[MW],153.7,380,27.843,0,120,871.257,247.563,101,118,2019.363
20240501B01,応札件数（電源属地別）[件],3,4,1,0,1,10,5,4,2,30
20240501B01,落札件数（電源属地別）[件],2,4,1,0,1,9,5,4,2,28
20240501B01,最高落札価格（電源属地別）[円/kW・30分],19.51,0.99,0.34,0,0.34,11.27,0.34,13.6,8.93,19.51
20240501B01,最低落札価格（電源属地別）[円/kW・30分],3.33,0.34,0.34,0,0.34,0.34,0.34,0.34,7.56,0.34
20240501B01,平均落札価格（電源属地別）[円/kW・30分],8.04,0.63,0.34,0,0.34,2.65,0.34,2.37,8.08,2.53
20240501B01,最高落札価格（TSO別）[円/kW・30分],19.51,0.99,0.34,0,0.34,11.27,11.27,13.6,8.93,19.51
20240501B01,最低落札価格（TSO別）[円/kW・30分],3.33,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240501B01,平均落札価格（TSO別）[円/kW・30分],8.04,0.63,0.34,0,0.34,2.54,2.31,2.37,3.42,2.53
20240501B01,落札量合計（TSO別）[MW],153.7,380,27.843,0,119,685.82,255,101,297,2019.363
20240501B01,（内訳）自エリアからの落札量[MW],153.7,380,27.843,0,119,685.82,123.576,101,118,1708.939
20240501B02,募集量（TSO別）[MW],269,516,1169,694,129,772,340,128,435,4452
20240501B02,応札量合計（電源属地別）[MW],155.7,680,212.843,0,129,1190.969,247.563,112,118,2846.075
20240501B02,落札量合計（電源属地別）[MW],152.7,580,212.843,0,129,907.257,247.563,112,118,2459.363
20240501B02,応札件数（電源属地別）[件],3,4,2,0,1,10,5,4,2,31
20240501B02,落札件数（電源属地別）[件],2,4,2,0,1,9,5,4,2,29
20240501B02,最高落札価格（電源属地別）[円/kW・30分],19.51,0.98,1.46,0,0.34,10.37,0.34,9.63,8.09,19.51
20240501B02,最低落札価格（電源属地別）[円/kW・30分],3.3,0.34,0.34,0,0.34,0.34,0.34,0.34,6.85,0.34
20240501B02,平均落札価格（電源属地別）[円/kW・30分],8.05,0.53,1.31,0,0.34,2.37,0.34,1.61,7.32,2.09
20240501B02,最高落札価格（TSO別）[円/kW・30分],19.51,0.98,1.46,1.46,0.34,10.37,10.37,9.63,10.37,19.51
20240501B02,最低落札価格（TSO別）[円/kW・30分],3.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
20240501B02,平均落札価格（TSO別）[円/kW・30分],8.05,0.53,1.13,1.45,0.34,2.56,1.08,1.61,3.27,2.09
20240501B02,落札量合計（TSO別）[MW],152.7,580,91,121.843,124,730.82,252,112,295,2459.363
20240501B02,（内訳）自エリアからの落札量[MW],152.7,580,91,0,124,730.82,147.563,112,118,2056.083
20240501B03,募集量（TSO別）[MW],328,677,1496,1416,176,1063,540,235,767,6698
20240501B03,応札量合計（電源属地別）[MW],160.7,510,480.843,0,176,796.82,105.048,188,118,2535.411
20240501B03,落札量合計（電源属地別）[MW],160.7,481,480.843,0,176,796.82,105.048,188,118,2506.411
20240501B03,応札件数（電源属地別）[件],3,3,4,0,1,5,3,5,2,26
20240501B03,落札件数（電源属地別）[件],3,3,4,0,1,5,3,5,2,26
20240501B03,最高落札価格（電源属地別）[円/kW・30分],19.51,1.62,1.46,0,0.34,0.34,0.34,12.73,14.77,19.51
20240501B03,最低落札価格（電源属地別）[円/kW・30分],3.75,0.34,0.34,0,0.34,0.34,0.34,0.34,12.46,0.34
20240501B03,平均落札価格（電源属地別）[円/kW・30分],8.25,0.79,1.4,0,0.34,0.34,0.34,3.28,13.34,1.97
20240501B03,最高落札価格（TSO別）[円/kW・30分],19.51,1.62,1.46,1.46,0.34,0.34,0.98,12.73,14.77,19.51
20240501B03,最低落札価格（TSO別）[円/kW・30分],3.75,0.34,0.34,0.34,0.34,0.34,0.34,0.34,12.46,0.34
20240501B03,平均落札価格（TSO別）[円/kW・30分],8.25,0.79,1.37,1.45,0.34,0.34,0.39,4.04,13.34,1.97
20240501B03,落札量合計（TSO別）[MW],160.7,481,343,137.843,145,797.401,176.467,147,118,2506.411
20240501B03,（内訳）自エリアからの落札量[MW],160.7,481,343,0,145,766.401,105.048,147,118,2266.149
20240501B04,募集量（TSO別）[MW],372,664,2319,1433,217,1224,603,299,823,7954
20240501B04,応札量合計（電源属地別）[MW],161.7,340,507.843,0,217,603,105.048,250,145,2329.591
20240501B04,落札量合計（電源属地別）[MW],158.7,340,507.843,0,217,603,105.048,250,145,2326.591
20240501B04,応札件数（電源属地別）[件],3,2,4,0,1,3,3,6,1,23
20240501B04,落札件数（電源属地別）[件],2,2,4,0,1,3,3,6,1,22
20240501B04,最高落札価格（電源属地別）[円/kW・30分],16.51,2.68,1.46,0,0.34,0.34,0.34,15.13,12.23,16.51
20240501B04,最低落札価格（電源属地別）[円/kW・30分],4.78,0.34,0.34,0,0.34,0.34,0.34,0.34,12.23,0.34
20240501B04,平均落札価格（電源属地別）[円/kW・30分],8.08,1.51,1.4,0,0.34,0.34,0.34,3.35,12.23,2.33
20240501B04,最高落札価格（TSO別）[円/kW・30分],16.51,2.68,1.46,0,0.34,0.34,1.65,15.13,12.23,16.51
20240501B04,最低落札価格（TSO別）[円/kW・30分],4.78,0.34,0.34,0,0.34,0.34,0.34,0.34,12.23,0.34
20240501B04,平均落札価格（TSO別）[円/kW・30分],8.08,1.51,1.4,0,0.34,0.34,0.38,4.05,12.23,2.33
20240501B04,落札量合計（TSO別）[MW],158.7,340,507.843,0,208,587.86,178.188,201,145,2326.591
20240501B04,（内訳）自エリアからの落札量[MW],158.7,340,507.843,0,208,578.86,105.048,201,145,2244.451
20240501B05,募集量（TSO別）[MW],401,698,2222,1351,261,1125,549,350,825,7782
20240501B05,応札量合計（電源属地別）[MW],89,340,580.843,0,246,603,105.048,302,321,2586.891
20240501B05,落札量合計（電源属地別）[MW],89,340,580.843,0,246,603,105.048,302,321,2586.891
20240501B05,応札件数（電源属地別）[件],2,2,4,0,1,3,3,6,2,23
20240501B05,落札件数（電源属地別）[件],2,2,4,0,1,3,3,6,2,23
20240501B05,最高落札価格（電源属地別）[円/kW・30分],10,2.63,1.46,0,0.34,0.34,0.34,15.13,10.41,15.13
20240501B05,最低落札価格（電源属地別）[円/kW・30分],1.19,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240501B05,平均落札価格（電源属地別）[円/kW・30分],1.49,1.49,1.41,0,0.34,0.34,0.34,2.61,8.03,1.99
20240501B05,最高落札価格（TSO別）[円/kW・30分],10,2.63,1.46,1.46,0.34,0.34,1.65,15.13,10.41,15.13
20240501B05,最低落札価格（TSO別）[円/kW・30分],1.19,0.34,0.34,1.46,0.34,0.34,0.34,0.34,0.34,0.34
20240501B05,平均落札価格（TSO別）[円/kW・30分],1.49,1.49,1.39,1.46,0.34,0.34,0.43,3.45,8.03,1.99
20240501B05,落札量合計（TSO別）[MW],89,340,425,155.843,246,588.196,207.188,214.664,321,2586.891
