H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202410,複合商品,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20241001B01,募集量（TSO別）[MW],208,474,1259,433,150,775,338,128,462,4227
20241001B01,応札量合計（電源属地別）[MW],291.99,550,164.3,0,150,566,431.507,75,462,2690.797
20241001B01,落札量合計（電源属地別）[MW],224,550,164.3,0,150,566,343,73,428,2498.3
20241001B01,応札件数（電源属地別）[件],4,3,2,0,1,4,6,3,3,26
20241001B01,落札件数（電源属地別）[件],4,3,2,0,1,4,6,3,3,26
20241001B01,最高落札価格（電源属地別）[円/kW・30分],6.33,4.3,5.44,0,1.09,6.56,1.79,2.39,5.14,6.56
20241001B01,最低落札価格（電源属地別）[円/kW・30分],2.48,0.98,1.53,0,1.09,0.34,0.34,0.34,1.25,0.34
20241001B01,平均落札価格（電源属地別）[円/kW・30分],4.75,3,3.66,0,1.09,2.78,1.11,1.16,4.73,3.02
20241001B01,最高落札価格（TSO別）[円/kW・30分],6.33,4.3,5.44,0,1.09,6.56,1.79,6.56,6.56,6.56
20241001B01,最低落札価格（TSO別）[円/kW・30分],2.48,0.98,1.53,0,1.09,0.34,0.34,0.34,1.25,0.34
20241001B01,平均落札価格（TSO別）[円/kW・30分],4.75,3,3.66,0,1.09,2.43,1.01,1.83,4.74,3.02
20241001B01,落札量合計（TSO別）[MW],224,550,164.3,0,129,659,228,113,431,2498.3
20241001B01,（内訳）自エリアからの落札量[MW],224,550,164.3,0,129,550,228,73,428,2346.3
20241001B02,募集量（TSO別）[MW],192,476,1217,426,151,777,338,131,493,4201
20241001B02,応札量合計（電源属地別）[MW],291.99,550,392,0,151,566,431.507,75,493,2950.497
20241001B02,落札量合計（電源属地別）[MW],230,550,392,0,151,566,381,75,455,2800
20241001B02,応札件数（電源属地別）[件],4,3,3,0,1,4,6,3,3,27
20241001B02,落札件数（電源属地別）[件],4,3,3,0,1,4,6,3,3,27
20241001B02,最高落札価格（電源属地別）[円/kW・30分],19.5,4.66,9.24,0,0.83,6.26,1.8,2.08,5.4,19.5
20241001B02,最低落札価格（電源属地別）[円/kW・30分],2.47,0.7,1.53,0,0.83,0.34,0.34,0.34,0.34,0.34
20241001B02,平均落札価格（電源属地別）[円/kW・30分],4.9,3.19,7.77,0,0.83,2.66,1.09,1.13,4.61,3.63
20241001B02,最高落札価格（TSO別）[円/kW・30分],19.5,4.66,9.24,0,0.83,6.26,1.8,6.26,5.4,19.5
20241001B02,最低落札価格（TSO別）[円/kW・30分],2.47,0.7,0.7,0,0.83,0.34,0.34,0.34,0.34,0.34
20241001B02,平均落札価格（TSO別）[円/kW・30分],4.9,3.37,6.24,0,0.83,2.35,1.03,1.83,4.61,3.63
20241001B02,落札量合計（TSO別）[MW],230,378,564,0,140,654,269,110,455,2800
20241001B02,（内訳）自エリアからの落札量[MW],230,378,392,0,140,552,269,75,455,2491
20241001B03,募集量（TSO別）[MW],274,989,1719,578,192,905,531,194,827,6209
20241001B03,応札量合計（電源属地別）[MW],331,550,662.4,0,192,566,288.992,156,564,3310.392
20241001B03,落札量合計（電源属地別）[MW],258,550,662.4,0,192,566,288.992,156,564,3237.392
20241001B03,応札件数（電源属地別）[件],3,3,5,0,2,4,4,5,2,28
20241001B03,落札件数（電源属地別）[件],3,3,5,0,2,4,4,5,2,28
20241001B03,最高落札価格（電源属地別）[円/kW・30分],7,5.27,9.24,0,1.77,6.3,2.52,1.57,4.82,9.24
20241001B03,最低落札価格（電源属地別）[円/kW・30分],2.41,0.37,1.53,0,1.14,0.34,0.52,0.34,4.54,0.34
20241001B03,平均落札価格（電源属地別）[円/kW・30分],4.81,3.46,7.86,0,1.34,2.65,1.55,0.92,4.65,4.12
20241001B03,最高落札価格（TSO別）[円/kW・30分],7,9.24,9.24,0,1.77,6.3,6.3,1.57,6.3,9.24
20241001B03,最低落札価格（TSO別）[円/kW・30分],2.41,0.37,1.53,0,1.14,0.34,0.34,0.34,0.34,0.34
20241001B03,平均落札価格（TSO別）[円/kW・30分],4.81,4.14,7.68,0,1.37,2.2,2.09,0.91,4.47,4.12
20241001B03,落札量合計（TSO別）[MW],258,623.1,589.3,0,161,496.281,371.711,118,620,3237.392
20241001B03,（内訳）自エリアからの落札量[MW],258,550,589.3,0,161,463.395,288.992,118,564,2992.687
20241001B04,募集量（TSO別）[MW],336,803,2166,768,267,1119,589,336,960,7344
20241001B04,応札量合計（電源属地別）[MW],226.99,400,737,0,267,566,251.318,319,606,3373.308
20241001B04,落札量合計（電源属地別）[MW],226.99,400,737,0,267,566,251.318,319,606,3373.308
20241001B04,応札件数（電源属地別）[件],4,2,5,0,2,4,3,7,3,30
20241001B04,落札件数（電源属地別）[件],4,2,5,0,2,4,3,7,3,30
20241001B04,最高落札価格（電源属地別）[円/kW・30分],16.37,5.97,9.24,0,2.58,8.97,3.91,4.37,4.61,16.37
20241001B04,最低落札価格（電源属地別）[円/kW・30分],1.55,1.87,1.53,0,1.95,0.96,1.92,0.34,1.51,0.34
