H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202409,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240901B01,募集量（TSO別）[MW],0,17,0,12,2,2,0,20,0,53
20240901B01,応札量合計（電源属地別）[MW],103,23,369.224,72,448,0,153.635,20,0,1188.859
20240901B01,落札量合計（電源属地別）[MW],0,20,12,0,4,0,0,20,0,56
20240901B01,応札件数（電源属地別）[件],1,1,1,3,2,0,4,1,0,13
20240901B01,落札件数（電源属地別）[件],0,1,1,0,1,0,0,1,0,4
20240901B01,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0.51,0,0.34,0,0,0.34,0,0.51
20240901B01,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0.51,0,0.34,0,0,0.34,0,0.34
20240901B01,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0.51,0,0.34,0,0,0.34,0,0.38
20240901B01,最高落札価格（TSO別）[円/kW・30分],0,0.34,0,0.51,0.34,0.34,0,0.34,0,0.51
20240901B01,最低落札価格（TSO別）[円/kW・30分],0,0.34,0,0.51,0.34,0.34,0,0.34,0,0.34
20240901B01,平均落札価格（TSO別）[円/kW・30分],0,0.34,0,0.51,0.34,0.34,0,0.34,0,0.38
20240901B01,落札量合計（TSO別）[MW],0,20,0,12,2,2,0,20,0,56
20240901B01,（内訳）自エリアからの落札量[MW],0,20,0,0,2,0,0,20,0,42
20240901B02,募集量（TSO別）[MW],0,0,7,0,0,0,0,10,0,17
20240901B02,応札量合計（電源属地別）[MW],337,23,568.348,14,231,407.626,183.174,10,10,1784.148
20240901B02,落札量合計（電源属地別）[MW],0,0,7,0,0,0,0,10,0,17
20240901B02,応札件数（電源属地別）[件],1,1,1,1,1,1,3,1,1,11
20240901B02,落札件数（電源属地別）[件],0,0,1,0,0,0,0,1,0,2
20240901B02,最高落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,最低落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,平均落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,最高落札価格（TSO別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,最低落札価格（TSO別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,平均落札価格（TSO別）[円/kW・30分],0,0,0.34,0,0,0,0,0.34,0,0.34
20240901B02,落札量合計（TSO別）[MW],0,0,7,0,0,0,0,10,0,17
20240901B02,（内訳）自エリアからの落札量[MW],0,0,7,0,0,0,0,10,0,17
20240901B03,募集量（TSO別）[MW],25,122,137,99,14,12,63,60,344,876
20240901B03,応札量合計（電源属地別）[MW],158,678,1289.64,228.27,234,194,184.992,60,345.75,3372.652
20240901B03,落札量合計（電源属地別）[MW],0,147,137,105.27,19.73,0,63,60,344,876
20240901B03,応札件数（電源属地別）[件],1,4,7,4,1,1,4,1,3,26
20240901B03,落札件数（電源属地別）[件],0,1,2,1,1,0,4,1,2,12
20240901B03,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0,0.34,0.34,1.05,1.05
