H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202406,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240601B01,募集量（TSO別）[MW],0,0,0,10,0,0,0,3,0,13
20240601B01,応札量合計（電源属地別）[MW],1.99,13,149.9,13,24,0,167.174,5,3,377.064
20240601B01,落札量合計（電源属地別）[MW],0,0,13,0,0,0,0,0,0,13
20240601B01,応札件数（電源属地別）[件],1,1,4,1,1,0,2,1,1,12
20240601B01,落札件数（電源属地別）[件],0,0,1,0,0,0,0,0,0,1
20240601B01,最高落札価格（電源属地別）[円/kW・30分],0,0,0.32,0,0,0,0,0,0,0.32
20240601B01,最低落札価格（電源属地別）[円/kW・30分],0,0,0.32,0,0,0,0,0,0,0.32
20240601B01,平均落札価格（電源属地別）[円/kW・30分],0,0,0.32,0,0,0,0,0,0,0.32
20240601B01,最高落札価格（TSO別）[円/kW・30分],0,0,0,0.32,0,0,0,0.32,0,0.32
20240601B01,最低落札価格（TSO別）[円/kW・30分],0,0,0,0.32,0,0,0,0.32,0,0.32
20240601B01,平均落札価格（TSO別）[円/kW・30分],0,0,0,0.32,0,0,0,0.32,0,0.32
20240601B01,落札量合計（TSO別）[MW],0,0,0,10,0,0,0,3,0,13
20240601B01,（内訳）自エリアからの落札量[MW],0,0,0,0,0,0,0,0,0,0
20240601B02,募集量（TSO別）[MW],0,0,89,106,13,15,28,0,0,251
20240601B02,応札量合計（電源属地別）[MW],0,209,335.5,13,24,0,90,0,56,727.5
20240601B02,落札量合計（電源属地別）[MW],0,0,195,0,24,0,32,0,0,251
20240601B02,応札件数（電源属地別）[件],0,2,4,1,1,0,1,0,2,11
20240601B02,落札件数（電源属地別）[件],0,0,1,0,1,0,1,0,0,3
20240601B02,最高落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0.34,0,0.34,0,0,0.34
20240601B02,最低落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0.34,0,0.34,0,0,0.34
20240601B02,平均落札価格（電源属地別）[円/kW・30分],0,0,0.34,0,0.34,0,0.34,0,0,0.34
20240601B02,最高落札価格（TSO別）[円/kW・30分],0,0,0.34,0.34,0.34,0.34,0.34,0,0,0.34
20240601B02,最低落札価格（TSO別）[円/kW・30分],0,0,0.34,0.34,0.34,0.34,0.34,0,0,0.34
20240601B02,平均落札価格（TSO別）[円/kW・30分],0,0,0.34,0.34,0.34,0.34,0.34,0,0,0.34
20240601B02,落札量合計（TSO別）[MW],0,0,89,106,13,15,28,0,0,251
20240601B02,（内訳）自エリアからの落札量[MW],0,0,89,0,13,0,28,0,0,130
20240601B03,募集量（TSO別）[MW],0,0,820,134,10,74,49,76,256,1419
20240601B03,応札量合計（電源属地別）[MW],10.9,194.7,1080.4,227.928,286,0,105.847,76,259.74,2241.515
20240601B03,落札量合計（電源属地別）[MW],0,0,820,134,84,0,70,76,235,1419
20240601B03,応札件数（電源属地別）[件],1,3,3,2,2,0,2,1,7,21
20240601B03,落札件数（電源属地別）[件],0,0,1,1,1,0,2,1,5,11
20240601B03,最高落札価格（電源属地別）[円/kW・30分],0,0,0.34,0.34,0.34,0,0.34,0.34,0.49,0.49
