H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202404,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240401B01,募集量（TSO別）[MW],189,15,966,694,0,227,0,0,173,2264
20240401B01,応札量合計（電源属地別）[MW],30,350,966,237.9,93,288.471,153.479,0,173,2291.85
20240401B01,落札量合計（電源属地別）[MW],30,15,966,237.9,0,227,0,0,173,1648.9
20240401B01,応札件数（電源属地別）[件],1,1,2,2,2,3,5,0,1,17
20240401B01,落札件数（電源属地別）[件],1,1,2,2,0,3,0,0,1,10
20240401B01,最高落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,最低落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,平均落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,最高落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,最低落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,平均落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0,0.34,0,0,0.34,0.34
20240401B01,落札量合計（TSO別）[MW],30,15,966,237.9,0,227,0,0,173,1648.9
20240401B01,（内訳）自エリアからの落札量[MW],30,15,966,237.9,0,227,0,0,173,1648.9
20240401B02,募集量（TSO別）[MW],227,24,971,637,18,81,0,42,243,2243
20240401B02,応札量合計（電源属地別）[MW],121,230,971,141.569,46,62.519,0,42,243,1857.088
20240401B02,落札量合計（電源属地別）[MW],121,24,971,141.569,18,62.519,0,42,243,1623.088
20240401B02,応札件数（電源属地別）[件],2,1,2,3,1,2,0,1,2,14
20240401B02,落札件数（電源属地別）[件],2,1,2,3,1,2,0,1,2,14
20240401B02,最高落札価格（電源属地別）[円/kW・30分],3.27,0.34,0.34,5.03,0.34,0.34,0,0.33,0.46,5.03
20240401B02,最低落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0,0.33,0.39,0.33
20240401B02,平均落札価格（電源属地別）[円/kW・30分],2.64,0.34,0.34,0.84,0.34,0.34,0,0.33,0.46,0.57
20240401B02,最高落札価格（TSO別）[円/kW・30分],3.27,0.34,0.34,5.03,0.34,0.34,0,0.33,0.46,5.03
20240401B02,最低落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0,0.33,0.39,0.33
20240401B02,平均落札価格（TSO別）[円/kW・30分],2.64,0.34,0.34,0.84,0.34,0.34,0,0.33,0.46,0.57
20240401B02,落札量合計（TSO別）[MW],121,24,971,141.569,18,62.519,0,42,243,1623.088
20240401B02,（内訳）自エリアからの落札量[MW],121,24,971,141.569,18,62.519,0,42,243,1623.088
20240401B03,募集量（TSO別）[MW],314,118,3089,1665,110,877,544,0,1024,7741
20240401B03,応札量合計（電源属地別）[MW],220.99,215,1200.571,351.627,110,676.908,0,241,1027.914,4044.01
20240401B03,落札量合計（電源属地別）[MW],220.99,203.9,1200.571,351.627,110,676.908,0,0,1027.914,3791.91
20240401B03,応札件数（電源属地別）[件],3,1,4,3,2,2,0,3,8,26
20240401B03,落札件数（電源属地別）[件],3,1,4,3,2,2,0,0,8,23
20240401B03,最高落札価格（電源属地別）[円/kW・30分],321,0.34,90.55,0.34,0.34,0.34,0,0,197,321
20240401B03,最低落札価格（電源属地別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,0,0,0.34,0.34
20240401B03,平均落札価格（電源属地別）[円/kW・30分],5.32,0.34,2.74,0.34,0.34,0.34,0,0,1.31,1.65
20240401B03,最高落札価格（TSO別）[円/kW・30分],321,0.34,90.55,0.34,0.34,0.34,197,0,1.32,321
20240401B03,最低落札価格（TSO別）[円/kW・30分],0.34,0.34,0.34,0.34,0.34,0.34,196,0,0.34,0.34
20240401B03,平均落札価格（TSO別）[円/kW・30分],5.32,0.34,2.58,0.34,0.34,0.34,196.51,0,0.56,1.65
20240401B03,落札量合計（TSO別）[MW],220.99,118,1286.471,351.627,110,676.908,3.914,0,1024,3791.91
20240401B03,（内訳）自エリアからの落札量[MW],220.99,118,1200.571,351.627,110,676.908,0,0,1024,3702.096
20240401B04,募集量（TSO別）[MW],354,516,4321,1174,193,963,406,170,1641,9738
20240401B04,応札量合計（電源属地別）[MW],0,445,843.251,659.281,144,1281.122,0,341,1641,5354.654
20240401B04,落札量合計（電源属地別）[MW],0,445,843.251,659.281,144,963,0,170,1641,4865.532
20240401B04,応札件数（電源属地別）[件],0,2,8,6,2,5,0,4,8,35
20240401B04,落札件数（電源属地別）[件],0,2,8,6,2,4,0,2,8,32
