H,電力需給調整力取引所取引結果,対象年月,商品区分,ブロック数
P,速報値,202408,三次調整力2,8
TT,取引情報,北海道,東北,東京,中部,北陸,関西,中国,四国,九州,合計
20240801B01,募集量（TSO別）[MW],0,5,0,0,0,3,0,0,0,8
20240801B01,応札量合計（電源属地別）[MW],238,8,292.415,12,22,63.677,75,0,0,711.092
20240801B01,落札量合計（電源属地別）[MW],0,5,0,0,0,3,0,0,0,8
20240801B01,応札件数（電源属地別）[件],2,1,1,1,1,3,1,0,0,10
20240801B01,落札件数（電源属地別）[件],0,1,0,0,0,1,0,0,0,2
20240801B01,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,最高落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,最低落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,平均落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0,0.34,0,0,0,0.34
20240801B01,落札量合計（TSO別）[MW],0,5,0,0,0,3,0,0,0,8
20240801B01,（内訳）自エリアからの落札量[MW],0,5,0,0,0,3,0,0,0,8
20240801B02,募集量（TSO別）[MW],0,10,0,0,5,0,7,0,0,22
20240801B02,応札量合計（電源属地別）[MW],82,22,292.415,42,5,688.3,75,0,0,1206.715
20240801B02,落札量合計（電源属地別）[MW],0,10,0,0,5,0,7,0,0,22
20240801B02,応札件数（電源属地別）[件],1,1,1,3,1,3,1,0,0,11
20240801B02,落札件数（電源属地別）[件],0,1,0,0,1,0,1,0,0,3
20240801B02,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,最高落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,最低落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,平均落札価格（TSO別）[円/kW・30分],0,0.34,0,0,0.34,0,0.34,0,0,0.34
20240801B02,落札量合計（TSO別）[MW],0,10,0,0,5,0,7,0,0,22
20240801B02,（内訳）自エリアからの落札量[MW],0,10,0,0,5,0,7,0,0,22
20240801B03,募集量（TSO別）[MW],0,103,52,3,25,0,18,0,242,443
20240801B03,応札量合計（電源属地別）[MW],82,525,511.185,265.15,69,0,176.124,0,243.99,1872.449
20240801B03,落札量合計（電源属地別）[MW],0,103,52,0,28,0,39,0,221,443
20240801B03,応札件数（電源属地別）[件],1,5,7,5,1,0,4,0,5,28
20240801B03,落札件数（電源属地別）[件],0,2,1,0,1,0,1,0,3,8
20240801B03,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0.34,0,0.34,0,0.91,0.91
20240801B03,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0.34,0,0.34,0,0.34,0.34
20240801B03,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0.34,0,0.34,0,0.47,0.4
20240801B03,最高落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0,0.34,0,0.91,0.91
20240801B03,最低落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0,0.34,0,0.34,0.34
20240801B03,平均落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0,0.34,0,0.46,0.4
20240801B03,落札量合計（TSO別）[MW],0,103,52,3,25,0,18,0,242,443
20240801B03,（内訳）自エリアからの落札量[MW],0,103,52,0,25,0,18,0,221,419
20240801B04,募集量（TSO別）[MW],0,411,592,0,23,98,4,40,308,1476
20240801B04,応札量合計（電源属地別）[MW],54,558,856.185,315.902,23,1981.026,263.056,40,308,4399.169
20240801B04,落札量合計（電源属地別）[MW],0,411,388.415,203.585,23,98,25,40,287,1476
20240801B04,応札件数（電源属地別）[件],1,7,11,5,1,7,4,1,2,39
20240801B04,落札件数（電源属地別）[件],0,3,2,1,1,1,1,1,2,12
20240801B04,最高落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.81,1.81
20240801B04,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.7,0.34
20240801B04,平均落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0.34,0.34,0.34,0.34,0.34,1.71,0.61
20240801B04,最高落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0,0.34,0.34,0.34,0.34,1.81,1.81
20240801B04,最低落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240801B04,平均落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0,0.34,0.34,0.34,0.34,1.62,0.61
20240801B04,落札量合計（TSO別）[MW],0,411,592,0,23,98,4,40,308,1476
20240801B04,（内訳）自エリアからの落札量[MW],0,411,388.415,0,23,98,4,40,287,1251.415
20240801B05,募集量（TSO別）[MW],0,267,762,0,14,64,16,57,314,1494
20240801B05,応札量合計（電源属地別）[MW],55.2,297,1149.642,43,14,1380.575,275,57,315.05,3586.467
20240801B05,落札量合計（電源属地別）[MW],0,257,772,0,14,64,37,57,293,1494
20240801B05,応札件数（電源属地別）[件],2,3,13,3,1,8,4,1,4,39
20240801B05,落札件数（電源属地別）[件],0,2,4,0,1,1,1,1,3,13
20240801B05,最高落札価格（電源属地別）[円/kW・30分],0,0.34,2.71,0,0.34,0.34,0.34,0.34,1.48,2.71
20240801B05,最低落札価格（電源属地別）[円/kW・30分],0,0.34,0.34,0,0.34,0.34,0.34,0.34,0.51,0.34
20240801B05,平均落札価格（電源属地別）[円/kW・30分],0,0.34,1.4,0,0.34,0.34,0.34,0.34,0.97,1.01
20240801B05,最高落札価格（TSO別）[円/kW・30分],0,2.71,2.71,0,0.34,0.34,0.34,0.34,1.48,2.71
20240801B05,最低落札価格（TSO別）[円/kW・30分],0,0.34,0.34,0,0.34,0.34,0.34,0.34,0.34,0.34
20240801B05,平均落札価格（TSO別）[円/kW・30分],0,0.43,1.38,0,0.34,0.34,0.34,0.34,0.93,1.01
20240801B05,落札量合計（TSO別）[MW],0,267,762,0,14,64,16,57,314,1494
20240801B05,（内訳）自エリアからの落札量[MW],0,257,762,0,14,64,16,57,293,1463
20240801B06,募集量（TSO別）[MW],13,29,188,0,7,0,55,21,355,668
20240801B06,応札量合計（電源属地別）[MW],55.2,83.5,655.872,96.5,0,13.146,60,21,356.99,1342.208
20240801B06,落札量合計（電源属地別）[MW],54,0,217,7,0,0,55,21,355,709
20240801B06,応札件数（電源属地別）[件],2,2,11,5,0,2,1,1,6,30
20240801B06,落札件数（電源属地別）[件],1,0,2,1,0,0,1,1,5,11
20240801B06,最高落札価格（電源属地別）[円/kW・30分],49,0,2.71,16.71,0,0,6.83,0.34,3.75,49
20240801B06,最低落札価格（電源属地別）[円/kW・30分],49,0,2.7,16.71,0,0,6.83,0.34,3.68,0.34
20240801B06,平均落札価格（電源属地別）[円/kW・30分],49,0,2.71,16.71,0,0,6.83,0.34,3.74,7.14
20240801B06,最高落札価格（TSO別）[円/kW・30分],49,2.71,2.71,0,16.71,0,6.83,0.34,3.75,49
20240801B06,最低落札価格（TSO別）[円/kW・30分],49,2.71,2.7,0,16.71,0,6.83,0.34,3.68,0.34
20240801B06,平均落札価格（TSO別）[円/kW・30分],49,2.71,2.7,0,16.71,0,6.83,0.34,3.74,7.14
20240801B06,落札量合計（TSO別）[MW],54,29,188,0,7,0,55,21,355,709
20240801B06,（内訳）自エリアからの落札量[MW],54,0,188,0,0,0,55,21,355,673
20240801B07,募集量（TSO別）[MW],0,30,0,0,0,0,0,18,0,48
20240801B07,応札量合計（電源属地別）[MW],0,82,290.742,48,0,0,0,18,0,438.742
20240801B07,落札量合計（電源属地別）[MW],0,0,30,0,0,0,0,18,0,48
20240801B07,応札件数（電源属地別）[件],0,1,3,4,0,0,0,1,0,9
20240801B07,落札件数（電源属地別）[件],0,0,1,0,0,0,0,1,0,2
20240801B07,最高落札価格（電源属地別）[円/kW・30分],0,0,3.65,0,0,0,0,0.34,0,3.65
20240801B07,最低落札価格（電源属地別）[円/kW・30分],0,0,3.65,0,0,0,0,0.34,0,0.34
20240801B07,平均落札価格（電源属地別）[円/kW・30分],0,0,3.65,0,0,0,0,0.34,0,2.41
20240801B07,最高落札価格（TSO別）[円/kW・30分],0,3.65,0,0,0,0,0,0.34,0,3.65
20240801B07,最低落札価格（TSO別）[円/kW・30分],0,3.65,0,0,0,0,0,0.34,0,0.34
20240801B07,平均落札価格（TSO別）[円/kW・30分],0,3.65,0,0,0,0,0,0.34,0,2.41
20240801B07,落札量合計（TSO別）[MW],0,30,0,0,0,0,0,18,0,48
20240801B07,（内訳）自エリアからの落札量[MW],0,0,0,0,0,0,0,18,0,18
20240801B08,募集量（TSO別）[MW],0,46,0,0,0,0,5,7,0,58
20240801B08,応札量合計（電源属地別）[MW],47,0,371.415,49.5,51,0,10,7,0,535.915
20240801B08,落札量合計（電源属地別）[MW],0,0,46,0,0,0,5,7,0,58
20240801B08,応札件数（電源属地別）[件],1,0,2,2,1,0,1,1,0,8
